,CV,time,AHT,time24,hour,day,lasthr01
362,426,2018-05-25 10:30:00,498.74413145539904,10:30:00,10,4,1
363,416,2018-05-25 11:30:00,571.1057692307693,11:30:00,11,4,1
364,436,2018-05-25 12:00:00,660.2362385321101,12:00:00,12,4,1
365,459,2018-05-25 12:30:00,677.1960784313726,12:30:00,12,4,1
366,464,2018-05-25 13:30:00,629.2155172413793,13:30:00,13,4,1
367,321,2018-05-25 14:30:00,644.588785046729,14:30:00,14,4,1
368,437,2018-05-25 15:00:00,676.279176201373,15:00:00,15,4,1
369,363,2018-05-25 15:30:00,734.4903581267217,15:30:00,15,4,1
370,275,2018-05-25 16:30:00,683.64,16:30:00,16,4,1
371,210,2018-05-25 17:30:00,670.5761904761905,17:30:00,17,4,1
372,101,2018-05-25 18:00:00,666.7326732673267,18:00:00,18,4,1
373,89,2018-05-25 18:30:00,534.4606741573034,18:30:00,18,4,1
374,8,2018-05-25 19:00:00,505.5,19:00:00,19,4,0
375,1,2018-05-25 19:30:00,1352.0,19:30:00,19,4,0
376,148,2018-05-29 07:30:00,497.27702702702703,07:30:00,7,1,1
377,368,2018-05-29 08:00:00,639.9184782608696,08:00:00,8,1,1
378,374,2018-05-29 08:30:00,667.4839572192514,08:30:00,8,1,1
